id,genre,track_name,artist_name,valence,energy
2bkobNV1AyahJ2sbGriUyW,acoustic,Fields of Gold (feat. Eva Cassidy),Michael Bolton,0.236,0.109
1gojE07n4tbREqy09rsBv1,acoustic,We Found Love,Alex Goot,0.303,0.74
6Vc5wAMmXdKIAM7WUoEb7N,acoustic,Say Something,A Great Big World,0.0765,0.147
5SdG78xwNRsjXmFGhm9Z8D,acoustic,Om du letar efter nån,Melissa Horn,0.658,0.284
6mFzy1Jha9RSCcQAJZ1M6y,acoustic,Gangnam Style,Jayesslee,0.591,0.391
66Bzmhj4cOinK5bxjx5DAK,acoustic,Release Me,Oh Laura,0.286,0.334
14rApQTKycs9gNg7hjm9m7,acoustic,White Blank Page,Mumford & Sons,0.299,0.398
2dLLR6qlu5UJ5gk0dKz0h3,acoustic,Royals,Lorde,0.337,0.428
2bbhyUWJ5VjdfI3P4PRLu2,acoustic,Samson,Regina Spektor,0.184,0.193
5sM2GI0vMNZL7tvfPQfByV,acoustic,Guaranteed,Eddie Vedder,0.127,0.00679
6akbXZeXdrWWsG77ZD3cuD,acoustic,Believe,Justin Bieber,0.508,0.847
2hKdd3qO7cWr2Jo0Bcs0MA,acoustic,Drops of Jupiter (Tell Me),Train,0.497,0.638
2VYqkb77OjToeRAnMNd4yU,acoustic,Misguided Ghosts,Paramore,0.236,0.266
3KZG39hHZiQrxFGLUaeWPb,acoustic,Distant Sun,Various Artists,0.331,0.611
4I1BlAeZK4UBSCKoaz8vQS,acoustic,If I Had a Boat,James Vincent McMorrow,0.179,0.295
47YCLbdWctAmEDphy658VD,acoustic,"Jackson - MTV Unplugged, 2012",Florence + The Machine,0.232,0.648
7utRJ4BeYx85khzP3lKoBX,acoustic,Tears in Heaven,Eric Clapton,0.312,0.242
39f53y1dfP5hT6LQMDDvpp,acoustic,Purple Rain,Various Artists,0.236,0.309
0YywjDvFudcaHG74NuWISy,acoustic,People Help the People,Birdy,0.153,0.308
74XzT6sJuCIw0Py539SNQR,acoustic,"A Girl, a Boy, and a Graveyard",jeremy messersmith,0.457,0.136
37z3ghNvcoPvHypKWTb2Sz,acoustic,Left for America,Ciaran Lavery,0.25,0.384
2ZaYFNn1YQuLSVdHhanr4Q,acoustic,Only You,Joshua Radin,0.831,0.255
7EOzfH8P0K4pKZpXE8JMmT,acoustic,Beautiful,Carly Rae Jepsen,0.423,0.496
1CbPLR6Xjo2nc0Pf13N0RS,acoustic,Pink Moon,Nick Drake,0.446,0.255
6jQlAObMMtULuYctlVjCLg,acoustic,No Aphrodisiac - Original,The Whitlams,0.636,0.607
5FPnjikbwlDMULCCCa6ZCJ,acoustic,Daughters,John Mayer,0.503,0.413
7f1722l0jzzDTwDD6PfvDh,acoustic,Drops Of Jupiter,Boyce Avenue,0.367,0.381
0ygAYQQy7bfDN6gH640bbl,acoustic,Wake Me Up,Ed Sheeran,0.336,0.209
6qTmjG7thRJEOaUKFmfjGR,acoustic,The Last Day on Earth,Kate Miller-Heidke,0.168,0.44
6vFUFJzXkbbW2YHWt3tIom,acoustic,Cowboys and Angels - Edit,Various Artists,0.403,0.639
3bKVklavvdDpGUMsoVlTQU,acoustic,Your Song - BBC Session,Elton John,0.201,0.409
6ybViy2qrO9sIi41EgRJgx,acoustic,Don't Know Why,Norah Jones,0.618,0.198
4Y1ZvAbetcpZsmedL9uhmR,acoustic,"Next To Me - Live From Spotify NYC, USA/2012",Emeli Sandé,0.294,0.397
5fWs7Uoh9l3JpFe488y1tj,acoustic,I Follow Rivers,Triggerfinger,0.696,0.499
1KzxgnTo2nKbuiTlJPKCjc,acoustic,Whisper the Answer,Gregory and the Hawk,0.249,0.372
1J4YoubtTxLuoKBzRIzHvv,acoustic,Taylor,Jack Johnson,0.569,0.729
7GILkDXz9y9x5KPHBKdrHA,acoustic,Spring för livet,Sara Varga,0.598,0.572
7jPumBvn7m7l3nolkML3cZ,acoustic,Love The Way You Lie - Part III (Original Demo),Skylar Grey,0.232,0.248
574GJ55EBM79W6n2V5bL5z,acoustic,Slow It Down,The Lumineers,0.108,0.064
3uWrO0I338XeRbFMLxVWln,acoustic,Romantiken (feat. Ane Brun),Tomas Andersson Wij,0.316,0.432
3KnQSveB0TCz2Lu3TaJWMJ,acoustic,Walking on a Dream,Kate Miller-Heidke,0.0974,0.294
33e9HtOfO1ye1h8xQ7Foc9,acoustic,The Cave,Mumford & Sons,0.345,0.499
2M9ro2krNb7nr7HSprkEgo,acoustic,Fast Car,Tracy Chapman,0.194,0.292
0obzwoGjXdORtAwYWZ9s53,acoustic,Grade 8,Ed Sheeran,0.781,0.807
2XpeEJgRYnKl41tJia9ggT,acoustic,Thought Of You,Justin Bieber,0.521,0.718
6Xz1aikik2Qy81JXxpHvNB,acoustic,Utan dina andetag,Carolina Wallin Pérez,0.153,0.238
0vWjNkwgkTnyzfeLdTKWJ7,acoustic,Roar,Alex Goot,0.425,0.394
3LcYYV9ozePfgYYmXv0P3r,acoustic,Fire and Rain,James Taylor,0.36,0.35
6wXy0MosS6KGV8yowVradf,acoustic,Luka,Suzanne Vega,0.722,0.229
0EFEkt29P7Icr7dO4vN6yk,acoustic,Walk on the Wild Side,Lou Reed,0.376,0.262
0rFOs9paloAvEtzwDX1Kmc,acoustic,Bubbly,Colbie Caillat,0.249,0.474
6TKhMnW63mUIgu3MW9P580,acoustic,Diamonds,Ben Howard,0.235,0.675
2wTm4lzLG4EKQxhWHF9VGG,acoustic,Scene Four - Don't You Ever Forget About Me,Sleeping With Sirens,0.364,0.684
2Uj2BjZXVv9WvYFEVl8TDi,acoustic,Silent Way,Milo Greene,0.0605,0.296
4EqCvUpjREyjrdxFnXbhAb,acoustic,I Still Haven't Found What I'm Looking For,Various Artists,0.784,0.476
3i508xSmrzqtAGl6wYPGae,acoustic,Something In The Air,The Jepettos,0.122,0.542
4T2SmVJPtDdugk5j5xV1d5,acoustic,You And Me,Lifehouse,0.363,0.428
75HUxEyYVoVnO4ZfAU9dfp,acoustic,Shelter,Birdy,0.261,0.196
3pRRYcXy3Z0PsAa8griSoF,acoustic,"Dog Days Are Over - MTV Unplugged, 2012",Florence + The Machine,0.271,0.534
451GvHwY99NKV4zdKPRWmv,acoustic,Banana Pancakes,Jack Johnson,0.615,0.375
1KqlVt63Q4bl1VdSlymr5C,acoustic,Riptide,Vance Joy,0.51,0.731
4otHnPszGCLCH6zB5yq5lw,acoustic,Calgary,Bon Iver,0.0768,0.46
2izoqbHZCGaoFOO8vcc1hK,acoustic,Boyfriend,Alex G,0.741,0.737
20p75WXHObYQcvc1ffp7ik,acoustic,Trololo Song,Mr. Trololo,0.636,0.613
6N001s7hglDhXJyjeXeg4F,acoustic,Why Am I Crying,Molly Sandén,0.198,0.346
0xM88xobymkMgg46MStfnV,acoustic,Hey There Delilah,Plain White T's,0.321,0.376
10ViidwjGLCfVtGPfdcszR,acoustic,Home,Edward Sharpe & The Magnetic Zeros,0.127,0.59
2I2kwyKgiiig05zX4PCSlx,acoustic,Billie Jean - Live,The Civil Wars,0.442,0.174
2tbdjsdJ9xtyunKnZBkGxF,acoustic,Father And Son,Yusuf / Cat Stevens,0.407,0.343
5bSPF76iSpI5p00BALV8uo,acoustic,"Daughters - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,0.407,0.38
4oa14QBfWRDfJy2agySy0L,acoustic,Gravity,Sara Bareilles,0.231,0.275
12jjuxN1gxlm29cqL5M6MW,acoustic,I Got You,Jack Johnson,0.544,0.399
5pgW3hUOrf7LoAv1iW0q4n,acoustic,"Cosmic Love - MTV Unplugged, 2012",Florence + The Machine,0.208,0.682
4AFBHrMN93QKtyQP5Pmz1t,acoustic,Perfect,Various Artists,0.598,0.432
7EmbQ8h0QUR52Jwo3S3eHH,acoustic,Daylight,Boyce Avenue,0.0386,0.602
4z1O25cq9g2kuJemmUxc21,acoustic,Small Bump,Ed Sheeran,0.446,0.436
64gpgh5jBMxyh7iVJll23t,acoustic,The Sound of Silence,Simon & Garfunkel,0.34,0.217
4JKHACLkotsxdKNF9vJYOS,acoustic,Nothing Arrived - Live from Spotify London,Villagers,0.42,0.415
25J4d78ESH2MgAJoIakB8O,acoustic,Lost In The Light,Bahamas,0.246,0.267
4fZ0mkzk0ktr4WVfjqyUv2,acoustic,Hear Me Now,Boyce Avenue,0.323,0.836
4Roqb07dEs3cP9FCsjqO7j,acoustic,You Learn,Takida,0.37,0.558
7MZphbmObz8ASYkG1CYhsS,afrobeat,Promesses Bla Bla,Tiken Jah Fakoly,0.647,0.454
4tOeiJqj6vhXjkckN6T3X5,afrobeat,Never Believe You,Mavado,0.657,0.685
15lW7MKcnprhsReAmQ2E95,afrobeat,I'd Like,Freshlyground,0.113,0.195
7EYRJsBJDoRdW8oFLUslh4,afrobeat,Azonto (feat. Tiffany),Fuse ODG,0.963,0.883
2Kn9cY1wz5ZDyBdSo0vvii,afrobeat,Gbagada Gbagada Gbogodo Gbogodo,Fela Kuti,0.818,0.635
5OB74KXeThUgS3VCuZTrlu,afrobeat,Diaraby Nene,Various Artists,0.837,0.448
2CR70HTSKkONUNd71CgmCG,afrobeat,M'bifé,Amadou & Mariam,0.431,0.578
14fmbvjYLqRZEXz1VZdM2M,afrobeat,We Found Love,Rihanna,0.609,0.74
6ma7kNoIMwE9OgMwVhL3JH,afrobeat,Sawt El-wahuch (Le Chant Des Fauves),Terakaft,0.432,0.458
7bmZVze4Ye5wryD8twVYLx,afrobeat,Sáré Kon Kon,Antibalas,0.945,0.776
7xefa61CMn5FZVmQQQfcuX,afrobeat,Mulatu,Mulatu Astatke,0.722,0.406
5qHNCskW92UF7zOIARUtBw,afrobeat,Don't Look Back,Youssou N'Dour,0.422,0.366
4AVIdds2A4E4UsZcVU0Uso,afrobeat,I Wish You Were Here,Alpha Blondy,0.58,0.566
5lI45e7n8XYQYgIh4FsMUW,afrobeat,Matsotsi,Chiwoniso,0.662,0.747
5XT4rqhZ4WADgxMKxkhMtV,afrobeat,Olilili,Miriam Makeba,0.196,0.181
48bHibaIwJCk6bEIUyXPKW,afrobeat,Baba,Salif Keita,0.716,0.709
0XzkemXSiXJa7VgDFPfU4S,afrobeat,Blurred Lines,Robin Thicke,0.863,0.503
7wZRhKE6XQVWU2FGiY80vb,afrobeat,On Top Your Matter,WizKid,0.97,0.966
6VhfsXyTnRRnNX77dQO1WA,afrobeat,Shining Star,Nneka,0.532,0.595
4ww7h5dDP2HLNEGeKUNKpd,afrobeat,Soundway,Various Artists,0.805,0.894
2bWs6hFVGp5YvDYCW1pW0Z,afrobeat,Sexy Ladies,Various Artists,0.0,0.0
0KyoJbvoG6aChFiDHJdPwt,afrobeat,Niger,Malian Musicians,0.624,0.441
64Abyr4HpkCBbT0DqBp1dx,afrobeat,True Love,2Baba,0.595,0.736
0yfeyqPCZrkyC3hxb6ycIH,afrobeat,Mwana,Staff Benda Bilili,0.921,0.866
2YvGLm7HGIRwzH1pgQDmRP,afrobeat,Secret Agent,Tony Allen,0.95,0.604
26JRni5Lqiyd9GNnlaz6DI,afrobeat,Three Little Birds,Bob Marley & The Wailers,0.643,0.478
5OprIO7jAo89hAeX5lpI2w,afrobeat,Yoruba,King Sunny Ade,0.963,0.544
2K15Edv21Uw9Cv5tBh8s9O,afrobeat,Bozos,Amadou & Mariam,0.935,0.774
27i5E9ok44Ymh7jtmN0OAy,afrobeat,Sabu Yerkoy,Ali Farka Touré,0.697,0.364
5oLqSZBY83KCxmkqXhtmsB,afrobeat,Funky Horn,Fela Kuti,0.468,0.777
2MYW5cwMeHoqA8a9pvpqu8,afrobeat,Je t'aime,Staff Benda Bilili,0.934,0.862
5dQ0kTDZeO4BVWLNytsKuv,afrobeat,Jiin Ma Jiin Ma,Orchestra Baobab,0.714,0.548
4H8hksp4inM3qnujTPWW3h,afrobeat,Djôn'maya,Victor Démé,0.302,0.319
4d4mfz1H6PsC9QPr1w8rfD,afrobeat,Sedjedo,Angelique Kidjo,0.854,0.705
18vbMUJK6F4CZwIkyUHtwr,afrobeat,Diallo,Vieux Farka Touré,0.687,0.723
5B0DtR1BiFKtj2NYS08QvM,afrobeat,Sijuade,King Sunny Ade,0.961,0.715
3JPrTUwhK3Utti9ilI75fB,afrobeat,Umqombothi,Yvonne Chaka Chaka,0.961,0.716
0tzvR9hZYdOBveJlgVz6Sy,afrobeat,Afro Disco Beat,Various Artists,0.866,0.682
4M6FuBh0zCSLFgoJ2SAWuw,afrobeat,Jama ko,Bassekou Kouyate,0.904,0.665
3Yf8sVkFXThHDtkqtSNbpZ,afrobeat,Kukere,Iyanya,0.965,0.853
2he169BxArR5AMYlgJIAXr,afrobeat,Zen,Rokia Traoré,0.861,0.458
0RdXMS28fH63l6Is3eHZXM,afrobeat,See Me So,2Baba,0.853,0.484
4Jh36W007VJNNj0O7TSZRe,afrobeat,Nchi Ya Kitu Kidogo,Eric Wainaina,0.919,0.703
5xH0qbaqtzc2onO0XC2Ywu,afrobeat,Bonde,Ali Farka Touré,0.553,0.532
713DvBtXMECOnta9AuCQFF,afrobeat,Good or Bad - Remix,Various Artists,0.899,0.715
5cJJj0iIg9YHimzmZq5Tot,afrobeat,Ikoyi Blindness,Fela Kuti,0.926,0.785
2pfHT1jlF2OaRaKYNjRfqs,afrobeat,Aluguntugui,Various Artists,0.78,0.837
5WMgNq8IGWiXV7acTMMPvX,afrobeat,Ekaette (feat. Tekno),Iyanya,0.934,0.982
3bidbhpOYeV4knp8AIu8Xn,afrobeat,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,0.847,0.922
7uXlMXa9Rca2lNnStntV8z,afrobeat,Senamou (c'est l'amour),Angelique Kidjo,0.857,0.859
3PIAWNKvcJc0EwwoyTVl6y,afrobeat,Hwehwe Mu Na Yi Wo Mpena,Various Artists,0.788,0.736
7ATa1G9YTRrJtUXFHFs88z,afrobeat,I Faram Gami I Faram,Mulatu Astatke,0.908,0.502
5KgU4lp0870zryRc3BEeDN,afrobeat,Roforofo Fight,Fela Kuti,0.751,0.9
161fk9qHtXsdHPzIGLFHWo,afrobeat,Yabis,Various Artists,0.639,0.629
1xSl7uE9De7aLDEGXahCJB,afrobeat,Allez Ola Olé,Jessy Matador,0.721,0.934
2wEKd4l4zJDfDFIxqDqex7,afrobeat,Ali's Here,Ali Farka Touré,0.777,0.884
0B9fgmIB70zCIM7LXCHYpn,afrobeat,Kuzohlatshelelwa,Ladysmith Black Mambazo,0.76,0.411
5jpppsCfiupH7Ar5bxThow,afrobeat,Global Threat,Sierra Leone's Refugee All Stars,0.871,0.714
3z4y2ScH8vWAgwUUTZ5SJd,afrobeat,Shagu,Mulatu Astatke,0.95,0.632
3awU4I6zcygJQBa5nzE3wv,afrobeat,Alkhar Dessouf,Various Artists,0.366,0.179
1mDZpgKx9Xpg6ijl9DvdA6,afrobeat,Sa Golo,Boubacar Traoré,0.634,0.769
1rVyxy6CRo3dB5z5oNKZfc,afrobeat,Swagger,Ruff-N-Smooth,0.915,0.78
2waQKyhYkF4GX2Qc1OsmrD,afrobeat,Savane,Ali Farka Touré,0.509,0.279
5VAZqFBgO2KNRw6KXA7xMj,afrobeat,Weeping,Vusi Mahlasela,0.512,0.619
0HG5ldTrMipekbNk62gR0x,afrobeat,L'Africain,Tiken Jah Fakoly,0.595,0.644
01Xh69x5oCaVjoIB6odY6j,afrobeat,Mouneïssa,Rokia Traoré,0.615,0.173
4kllrpe5aqUAjBobwsbOD3,afrobeat,Ngalula,Pompom Kuleta,0.943,0.927
06B0pbiRWZJAfxJXu6R4wY,afrobeat,"Dorobucci (feat. Don Jazzy, Dr Sid, Dr Sid Tiwa Savage, Reekado Banks, Di'ja, Korede Bello & D'prince)",Mavins,0.481,0.736
2eepRxzqOynKv8WObUtfTa,afrobeat,Slow Down (feat. Wizkid),R2Bees,0.673,0.728
60sz0jcrIVGFvYsXL5IYT6,afrobeat,If to Say,Various Artists,0.943,0.81
4iEBmWl1OzPIfNbZAV378G,afrobeat,Tchamantché,Rokia Traoré,0.933,0.355
28O4PwkH8bzARStxeL4pxL,afrobeat,Sexy Bitch (feat. Akon),David Guetta,0.853,0.633
3LZMPBsDMfp9Z2bO60Gm8a,afrobeat,Azonto,Various Artists,0.666,0.916
29uoxjfhIdHFxuRn03T18W,afrobeat,Mizin,Ebo Taylor,0.893,0.841
0bg6otrW5gxNnlCqrCrXyd,afrobeat,Dynamite,Taio Cruz,0.818,0.804
3mYsWA2ClF84ZLroBpreo1,afrobeat,Pot Belly,Freshlyground,0.311,0.46
2U4kPiipwfc2oHmd0nGoj5,afrobeat,Dutty Love,Don Omar,0.899,0.873
4s5OFaXyadqE9uTaNYTKQw,afrobeat,Ahomka Wo Mu,VIP,0.865,0.74
2SGfKTYnLLX1UCEA84O6IZ,afrobeat,Zombie,Various Artists,0.588,0.965
0FmeXuBrk6we6OolAjhGTs,afrobeat,La Paix,Amadou & Mariam,0.751,0.716
4HMatLN0QNCQjghsYt5wzg,afrobeat,Marabi,Mafikizolo,0.663,0.437
5XWA3kJzwdjVZd9aSEOtp3,afrobeat,Takkest Tamidaret,Tinariwen,0.514,0.302
7pnmp2jZvY0vRg6AYE5gi6,afrobeat,Bula Bula,Various Artists,0.842,0.742
4QZ6TKJpZZusMnKXvdJwZx,afrobeat,Dance (feat. Wizkid),R2Bees,0.909,0.953
2KO00cY85Xc87Ix7yeCCtl,afrobeat,Ledi Coumbe,Ali Farka Touré,0.755,0.449
0MEn5wVttIHOLTgRQtWcOv,afrobeat,Aïcha,Africando,0.663,0.737
2gmpWgPvC5vap4D2YtHbEW,afrobeat,Tamiditin Tan Ufrawan,Tinariwen,0.563,0.645
6C6xlP5zYRhYSNI5ORl6Wd,afrobeat,Don't Dull,WizKid,0.925,0.799
1qS651p1Bb98izC1vumjau,afrobeat,Country Boy,Youssou N'Dour,0.783,0.868
1MK8L06o47PcRsmwnAxqDL,afrobeat,Bunieya Enu,P-Square,0.872,0.811
1MN5gnxpy3GeSFoldiWwGu,afrobeat,Bissa,Fatoumata Diawara,0.735,0.701
300DzFkBAgf9PgPbl0ta4o,afrobeat,Khona,Dschinghis Khan,0.448,0.655
00sQAR9xuGbRM7XjWmjZKF,afrobeat,Baai,Blood Diamond,0.968,0.754
5UbCXbC3qipMnrRLS0II0T,afrobeat,Bomper to Bomper,Various Artists,0.36,0.701
5rOHTPNcHiwhQYqNBpRW2x,afrobeat,1er Gaou - Version originale,Magic System,0.943,0.86
6FrYPX8PWQUv3HljFo2vqT,afrobeat,Big Apple Boogaloo,Brooklyn Funk Essentials,0.93,0.909
6aZT69w1QHAo0EbKWexjWs,afrobeat,I Speak Fula,Bassekou Kouyate,0.847,0.857
2jHdpoUfgb1fALKARNCm9D,afrobeat,Assouf,Tinariwen,0.522,0.702
1PTGzgjNWP4upVlCp95I6i,afrobeat,Ara,Brymo,0.611,0.901
57BqpzkQWkCOxASHhNEZl0,afrobeat,Aon Aon,Tabu Ley Rochereau,0.714,0.358
51m0PrZokFZNk5b5xptyzC,alt-rock,Cannonball,The Breeders,0.765,0.685
0Ws3haBpuaBIaRnWKrkNCg,alt-rock,No One Loves Me & Neither Do I,Them Crooked Vultures,0.603,0.895
2rFT9auiubp7nlaX7wknwI,alt-rock,Patty Lee,Les Savy Fav,0.776,0.923
6PVO81KnAojLK2jiqjkcWL,alt-rock,California Wasted,Toad The Wet Sprocket,0.493,0.781
6S1X3oZV4NwJejOYOSz4uj,alt-rock,Father Of Mine,Everclear,0.837,0.944
6mH3sA9TMhgALjjWO0LXW2,alt-rock,1000hp,Godsmack,0.429,0.955
2LGAbm0xHNu7scBDVCkFwN,alt-rock,Hey Julie,Fountains Of Wayne,0.978,0.554
0lDoG5fQ9cmpvpenwR7Jln,alt-rock,Incinerate,Sonic Youth,0.455,0.866
0wEAdo7Vmf9SqE4UMygI1m,alt-rock,Invisible,Dismemberment Plan,0.292,0.904
3oX3F14vpkCMJnFoF3DSEr,alt-rock,I Want You To Want Me - Soundtrack,Various Artists,0.656,0.84
22b8heZ3eqjtXEAafnxFM5,alt-rock,Stone,Alice In Chains,0.543,0.879
6qHdoyFDpGB7wVW5R0iExG,alt-rock,The Howl Of The Winds,The Thermals,0.622,0.884
4StWxcSAFbWQoI290UDUUW,alt-rock,The War,Bob Mould,0.185,0.952
5FFowl1Ve4S5OehL6OywSg,alt-rock,Waiting Room,Fugazi,0.54,0.727
489LqT23pPrC8CqFFH7CPS,alt-rock,The Lonely LP,The Vaselines,0.591,0.853
66qeeTCJ44e1hGzvAlsZdD,alt-rock,Better Than Me,Hinder,0.261,0.681
54dAM9PfABaX5vJ3aFSepP,alt-rock,Hard Sun,Various Artists,0.643,0.83
1ftipfHchfh3Ke8PnPCu0B,alt-rock,Undeniable,Better Than Ezra,0.966,0.787
48iWbsOaBUAGzMdoSmqyg1,alt-rock,Lightning Crashes,Live,0.427,0.433
6KtLECDztnah63TNmV4Plw,alt-rock,Wish You Were Here,Incubus,0.35,0.768
77hmyDdKIn5JmAJmWp6264,alt-rock,Back to the Middle,Deerhunter,0.914,0.823
7c1Dar0pIAW7w5TzaGjt9t,alt-rock,Jane Says,Jane's Addiction,0.496,0.597
51qDSqAzAOwL7OQitYFCw9,alt-rock,High Tide Low Tide,The Vaselines,0.624,0.947
4Pm2TkSrMAcZWN4atEYpxn,alt-rock,Voices,Alice In Chains,0.142,0.767
0jcqJ7xIUuirEbQFlhvOLm,alt-rock,Plowed,Various Artists,0.21,0.908
6VbsBYL6FzRhgcyDbGrXtx,alt-rock,This Land Is Your Land,My Morning Jacket,0.618,0.341
5XXpZ7TZjkQLEr36ba4HEY,alt-rock,Void,Superchunk,0.208,0.912
2JjbpuHG9MtaqyAXfZkLxG,alt-rock,Oh,Sleater-Kinney,0.548,0.947
5h7AwmYVawNkMaXcPjDhDG,alt-rock,Discretion Grove,Stephen Malkmus,0.28,0.437
0NPSMuF3Vbp4SZRkLQW1wk,alt-rock,Gold Day,Sparklehorse,0.284,0.539
2SSBJhvMsujY94GK5JAtKs,alt-rock,Buena,Morphine,0.591,0.494
698gaSKWFh8iSD60U2DtNT,alt-rock,Lady Your Roof Brings Me Down,Scott Weiland,0.181,0.505
6JqmArpMrkb125GqWsBAPg,alt-rock,Central,John Frusciante,0.149,0.575
5NHZFD1TXeBwAFV3EzRKjT,alt-rock,Getaway,Pearl Jam,0.79,0.931
6b9TJfqcmgWLgXnJB2KLSr,alt-rock,What Do You Say,Filter,0.4,0.929
0rSSzTSx8TpBMtw8xqfto5,alt-rock,My Favourite Dress,The Wedding Present,0.657,0.876
0uTKTbLNLKun66RFHBtsVt,alt-rock,A Million Random Digits,...And You Will Know Us by the Trail of Dead,0.197,0.851
4S6BDExVCTDES6DXGLaGh7,alt-rock,Between The Raindrops,Lifehouse,0.236,0.63
5pPlWW8ZfCKRChQYvASHGT,alt-rock,Car,Built To Spill,0.356,0.545
69abU5lvwDyG3nxjve8sjN,alt-rock,Circles,Soul Coughing,0.605,0.568
5ytrravfTnogHpfGzlqlHu,alt-rock,Something to Remind You,Staind,0.218,0.295
1AuoE6E9GGzncRpGg0Y7vG,alt-rock,It's Your Choice,Brendan Benson,0.746,0.768
6oEVXNUt5x4cIMGYrKiB4w,alt-rock,You Know You're Right,Nirvana,0.437,0.755
3RsjkOS5Dou8j3AM9ssgpy,alt-rock,Lazy Eye,Silversun Pickups,0.333,0.809
07G160yYZD2W2gLcla1lmF,alt-rock,Skull - Remastered,Sebadoh,0.386,0.635
5kwVVnZ8ZjJanBbGmrbHsb,alt-rock,She Builds Quick Machines,Velvet Revolver,0.673,0.883
2VSbEXqs6NbNiZSTcHlIDR,alt-rock,My Sacrifice,Creed,0.257,0.88
7oypoJJHZOALqQlGKpTefk,alt-rock,"You're Gonna Go Far, Kid",Various Artists,0.611,0.877
06QooyUa24W60Y4w8SgDwD,alt-rock,Turn up the Radio,OK Go,0.66,0.802
2Cla3UoHpM6u92PeGzBytm,alt-rock,Popular Mechanics For Lovers,Beulah,0.767,0.69
3aL353hFdpA6eOcDUL5sOH,alt-rock,Blue Moon,Beck,0.497,0.653
7aPJPm0yFfRrTuBw05qVE3,alt-rock,New Fang,Them Crooked Vultures,0.741,0.962
2HvZX5MAsV0R9eArKzPlt0,alt-rock,Short Skirt / Long Jacket,Various Artists,0.875,0.901
3G0kzHUQGkhgWurrYEOQKd,alt-rock,Yesterday Once More,Various Artists,0.44,0.803
0nNVR2iDM3eVzEgMi78vQm,alt-rock,Let Me Go,3 Doors Down,0.491,0.863
60IMjTxu5reUpuhuZcdgVA,alt-rock,Edge Of A Revolution,Nickelback,0.717,0.966
0lhoDBNX493zHPbqNraT7O,alt-rock,Long Nights,Various Artists,0.0893,0.312
4Ze0s4HrArYiz2P6l8qqxh,alt-rock,Pretty Baby,Brendan Benson,0.512,0.439
0uV08LNPr64s1eDRpiltac,alt-rock,Always Forgetting with You (The Bridge Song),Various Artists,0.162,0.552
5gXxrbZdRTf1kP0IvgsONG,alt-rock,Taste You,Melissa Auf der Maur,0.447,0.582
6ZOBP3NvffbU4SZcrnt1k6,alt-rock,Kryptonite,3 Doors Down,0.543,0.865
4KoNBTm9a55KgLMtEaf3n6,alt-rock,If You Could Only See,Tonic,0.578,0.946
2mRlBUQVUgWFEN3HUN21tC,alt-rock,Something Beautiful,Oleander,0.465,0.958
688iWTzQ8rf7P4mKU9UJSr,alt-rock,Web In Front,Archers Of Loaf,0.942,0.797
3JN8Emy2XVWWIuk7jJIWCR,alt-rock,She Walks,Poster Children,0.344,0.543
25v0BWRi70dzoJ2jylOK9v,alt-rock,Hey Jane,Spiritualized,0.325,0.946
55rs5f3NvawRGMO666XqL5,alt-rock,Consoler of the Lonely,The Raconteurs,0.61,0.821
68dF2fJhETbjO3BVr3WUHo,alt-rock,Song 2,Blur,0.855,0.709
